ticket_id,ticket_num,status,department,subject,subject_final,message,plugin,plugin_slug,plugins_detectados,domain,activation_requested,authorization_detected,completion_detected,wordpress_context,decision,classification,priority,classification_reason,score,signals,fields_used,blocked_actions,is_candidate,source,debug_fields
15687,FLF-942994,Closed,Suporte Técnico,"Solicitação de ativação de plugin(s): Elementor PRO, Essentials Addons","#FLF-942994 - Solicitação de ativação de plugin(s): Elementor PRO, Essentials Addons",,Elementor Pro,elementor-pro,Elementor Pro,,True,False,True,False,ignored,IGNORAR,ignorar,sinal de conclusao ou status fechado/resolvido,5,activation_keyword | plugin_whitelist_match | ignored_status,"{""created_at"": ""date"", ""customer_email"": ""email"", ""department"": ""deptname"", ""status"": ""status"", ""subject"": ""subject"", ""ticket_id"": ""ticket_id"", ""ticket_num"": ""tid""}",,False,detail,"{""campo_subject_escolhido"": ""nenhum"", ""campos_encontrados_no_resumo"": [""ticket_id""], ""ignorado"": true, ""keywords_encontradas"": [""ativacao"", ""ativação"", ""plugin"", ""ativacao"", ""ativação"", ""solicitacao de ativacao"", ""solicitação de ativação"", ""plugin"", ""plugin(s)""], ""motivo"": ""sinal de conclusao ou status fechado/resolvido"", ""plugins_encontrados"": [""Elementor Pro""], ""raw_subject_fields"": {}}"
15697,ONA-962370,Closed,Suporte Técnico,"Solicitação de ativação de plugin(s): Elementor PRO, WP Rocket","#ONA-962370 - Solicitação de ativação de plugin(s): Elementor PRO, WP Rocket",,Elementor Pro,elementor-pro,Elementor Pro | WP Rocket,,True,False,True,True,ignored,IGNORAR,ignorar,sinal de conclusao ou status fechado/resolvido,15,activation_keyword | plugin_whitelist_match | wordpress_context | ignored_status,"{""created_at"": ""date"", ""customer_email"": ""email"", ""department"": ""deptname"", ""status"": ""status"", ""subject"": ""subject"", ""ticket_id"": ""ticket_id"", ""ticket_num"": ""tid""}",,False,detail,"{""campo_subject_escolhido"": ""nenhum"", ""campos_encontrados_no_resumo"": [""ticket_id""], ""ignorado"": true, ""keywords_encontradas"": [""ativacao"", ""ativação"", ""plugin"", ""ativacao"", ""ativação"", ""solicitacao de ativacao"", ""solicitação de ativação"", ""plugin"", ""plugin(s)""], ""motivo"": ""sinal de conclusao ou status fechado/resolvido"", ""plugins_encontrados"": [""Elementor Pro"", ""WP Rocket""], ""raw_subject_fields"": {}}"
15698,PYA-939981,Closed,Suporte Técnico,"Solicitação de ativação de plugin(s): Elementor PRO, WP Rocket","#PYA-939981 - Solicitação de ativação de plugin(s): Elementor PRO, WP Rocket",,Elementor Pro,elementor-pro,Elementor Pro | WP Rocket,,True,False,True,True,ignored,IGNORAR,ignorar,sinal de conclusao ou status fechado/resolvido,15,activation_keyword | plugin_whitelist_match | wordpress_context | ignored_status,"{""created_at"": ""date"", ""customer_email"": ""email"", ""department"": ""deptname"", ""status"": ""status"", ""subject"": ""subject"", ""ticket_id"": ""ticket_id"", ""ticket_num"": ""tid""}",,False,detail,"{""campo_subject_escolhido"": ""nenhum"", ""campos_encontrados_no_resumo"": [""ticket_id""], ""ignorado"": true, ""keywords_encontradas"": [""ativacao"", ""ativação"", ""plugin"", ""ativacao"", ""ativação"", ""solicitacao de ativacao"", ""solicitação de ativação"", ""plugin"", ""plugin(s)""], ""motivo"": ""sinal de conclusao ou status fechado/resolvido"", ""plugins_encontrados"": [""Elementor Pro"", ""WP Rocket""], ""raw_subject_fields"": {}}"
15621,GQY-109607,Closed,Financeiro,Cancelamento de plano,#GQY-109607 - Cancelamento de plano,,,,,,False,False,True,False,ignored,IGNORAR,ignorar,sinal de conclusao ou status fechado/resolvido,0,ignored_status | non_related:financeiro,"{""created_at"": ""date"", ""customer_email"": ""email"", ""department"": ""deptname"", ""status"": ""status"", ""subject"": ""subject"", ""ticket_id"": ""id"", ""ticket_num"": ""tid""}",,False,summary,"{""campo_subject_escolhido"": ""subject"", ""campos_encontrados_no_resumo"": [""admin"", ""attachment"", ""attachments"", ""attachments_removed"", ""c"", ""cc"", ""contactid"", ""date"", ""deptid"", ""deptname"", ""email"", ""flag"", ""id"", ""lastreply"", ""name"", ""owner_name"", ""priority"", ""requestor_email"", ""requestor_name"", ""requestor_type"", ""service"", ""status"", ""subject"", ""ticketid"", ""tid"", ""userid""], ""ignorado"": true, ""keywords_encontradas"": [], ""motivo"": ""sinal de conclusao ou status fechado/resolvido"", ""plugins_encontrados"": [], ""raw_subject_fields"": {""name"": ""Gabriel Jabas"", ""subject"": ""Cancelamento de plano""}}"
15622,XXA-071661,Closed,Suporte Técnico,Cancelamento,#XXA-071661 - Cancelamento,,,,,,False,False,True,False,ignored,IGNORAR,ignorar,sinal de conclusao ou status fechado/resolvido,0,ignored_status,"{""created_at"": ""date"", ""department"": ""deptname"", ""status"": ""status"", ""subject"": ""subject"", ""ticket_id"": ""id"", ""ticket_num"": ""tid""}",,False,summary,"{""campo_subject_escolhido"": ""subject"", ""campos_encontrados_no_resumo"": [""admin"", ""attachment"", ""attachments"", ""attachments_removed"", ""c"", ""cc"", ""contactid"", ""date"", ""deptid"", ""deptname"", ""email"", ""flag"", ""id"", ""lastreply"", ""name"", ""owner_name"", ""priority"", ""requestor_email"", ""requestor_name"", ""requestor_type"", ""service"", ""status"", ""subject"", ""ticketid"", ""tid"", ""userid""], ""ignorado"": true, ""keywords_encontradas"": [], ""motivo"": ""sinal de conclusao ou status fechado/resolvido"", ""plugins_encontrados"": [], ""raw_subject_fields"": {""name"": ""Vera Lucia Martins"", ""subject"": ""Cancelamento""}}"
15612,JXK-572057,Closed,Financeiro,Solicitação de cancelamento: Basic (serviço #3123),#JXK-572057 - Solicitação de cancelamento: Basic (serviço #3123),,,,,,False,False,True,False,ignored,IGNORAR,ignorar,sinal de conclusao ou status fechado/resolvido,0,ignored_status | non_related:financeiro,"{""created_at"": ""date"", ""customer_email"": ""email"", ""department"": ""deptname"", ""status"": ""status"", ""subject"": ""subject"", ""ticket_id"": ""id"", ""ticket_num"": ""tid""}",,False,summary,"{""campo_subject_escolhido"": ""subject"", ""campos_encontrados_no_resumo"": [""admin"", ""attachment"", ""attachments"", ""attachments_removed"", ""c"", ""cc"", ""contactid"", ""date"", ""deptid"", ""deptname"", ""email"", ""flag"", ""id"", ""lastreply"", ""name"", ""owner_name"", ""priority"", ""requestor_email"", ""requestor_name"", ""requestor_type"", ""service"", ""status"", ""subject"", ""ticketid"", ""tid"", ""userid""], ""ignorado"": true, ""keywords_encontradas"": [], ""motivo"": ""sinal de conclusao ou status fechado/resolvido"", ""plugins_encontrados"": [], ""raw_subject_fields"": {""name"": ""Andre Sanches"", ""subject"": ""Solicitação de cancelamento: Basic (serviço #3123)""}}"
15724,FKJ-274583,Closed,Suporte Técnico,Migração Dominios: ssisaude.com.br,#FKJ-274583 - Migração Dominios: ssisaude.com.br,,,,,ssisaude.com.br,False,False,True,True,ignored,IGNORAR,ignorar,sinal de conclusao ou status fechado/resolvido,0,domain_detected | wordpress_context | ignored_status | non_related:migracao | non_related:migração,"{""created_at"": ""date"", ""customer_email"": ""email"", ""department"": ""deptname"", ""status"": ""status"", ""subject"": ""subject"", ""ticket_id"": ""id"", ""ticket_num"": ""tid""}",,False,summary,"{""campo_subject_escolhido"": ""subject"", ""campos_encontrados_no_resumo"": [""admin"", ""attachment"", ""attachments"", ""attachments_removed"", ""c"", ""cc"", ""contactid"", ""date"", ""deptid"", ""deptname"", ""email"", ""flag"", ""id"", ""lastreply"", ""name"", ""owner_name"", ""priority"", ""requestor_email"", ""requestor_name"", ""requestor_type"", ""service"", ""status"", ""subject"", ""ticketid"", ""tid"", ""userid""], ""ignorado"": true, ""keywords_encontradas"": [], ""motivo"": ""sinal de conclusao ou status fechado/resolvido"", ""plugins_encontrados"": [], ""raw_subject_fields"": {""name"": ""Vitor Hugo Camargo"", ""subject"": ""Migração Dominios: ssisaude.com.br""}}"
15742,ZVE-279233,Customer-Reply,Suporte Técnico,Possível comprometimento de conta de e-mail – Solicitação de análise de logs de autenticação e envio,#ZVE-279233 - Possível comprometimento de conta de e-mail – Solicitação de análise de logs de autenticação e envio,,,,,,False,False,False,False,ignored,IGNORAR,ignorar,sem sinais suficientes de ativação de plugin,0,pending_status | non_related:e-mail,"{""created_at"": ""date"", ""customer_email"": ""email"", ""department"": ""deptname"", ""status"": ""status"", ""subject"": ""subject"", ""ticket_id"": ""id"", ""ticket_num"": ""tid""}",,False,summary,"{""campo_subject_escolhido"": ""subject"", ""campos_encontrados_no_resumo"": [""admin"", ""attachment"", ""attachments"", ""attachments_removed"", ""c"", ""cc"", ""contactid"", ""date"", ""deptid"", ""deptname"", ""email"", ""flag"", ""id"", ""lastreply"", ""name"", ""owner_name"", ""priority"", ""requestor_email"", ""requestor_name"", ""requestor_type"", ""service"", ""status"", ""subject"", ""ticketid"", ""tid"", ""userid""], ""ignorado"": true, ""keywords_encontradas"": [], ""motivo"": ""sem sinais suficientes de ativação de plugin"", ""plugins_encontrados"": [], ""raw_subject_fields"": {""name"": ""Kellen Silva"", ""subject"": ""Possível comprometimento de conta de e-mail – Solicitação de análise de logs de autenticação e envio""}}"
15741,CSW-684647,Answered,Suporte Técnico,Não consigo abrir o easypanel,#CSW-684647 - Não consigo abrir o easypanel,,,,,,False,False,False,False,ignored,IGNORAR,ignorar,sem sinais suficientes de ativação de plugin,10,pending_status,"{""created_at"": ""date"", ""customer_email"": ""email"", ""department"": ""deptname"", ""status"": ""status"", ""subject"": ""subject"", ""ticket_id"": ""id"", ""ticket_num"": ""tid""}",,False,summary,"{""campo_subject_escolhido"": ""subject"", ""campos_encontrados_no_resumo"": [""admin"", ""attachment"", ""attachments"", ""attachments_removed"", ""c"", ""cc"", ""contactid"", ""date"", ""deptid"", ""deptname"", ""email"", ""flag"", ""id"", ""lastreply"", ""name"", ""owner_name"", ""priority"", ""requestor_email"", ""requestor_name"", ""requestor_type"", ""service"", ""status"", ""subject"", ""ticketid"", ""tid"", ""userid""], ""ignorado"": true, ""keywords_encontradas"": [], ""motivo"": ""sem sinais suficientes de ativação de plugin"", ""plugins_encontrados"": [], ""raw_subject_fields"": {""name"": ""Marcos da Rocha Patrocinio"", ""subject"": ""Não consigo abrir o easypanel""}}"
15693,QIF-227405,Answered,Financeiro,Reembolso,#QIF-227405 - Reembolso,,,,,,False,False,False,False,ignored,IGNORAR,ignorar,sem sinais suficientes de ativação de plugin,0,pending_status | non_related:financeiro,"{""created_at"": ""date"", ""customer_email"": ""email"", ""department"": ""deptname"", ""status"": ""status"", ""subject"": ""subject"", ""ticket_id"": ""id"", ""ticket_num"": ""tid""}",,False,summary,"{""campo_subject_escolhido"": ""subject"", ""campos_encontrados_no_resumo"": [""admin"", ""attachment"", ""attachments"", ""attachments_removed"", ""c"", ""cc"", ""contactid"", ""date"", ""deptid"", ""deptname"", ""email"", ""flag"", ""id"", ""lastreply"", ""name"", ""owner_name"", ""priority"", ""requestor_email"", ""requestor_name"", ""requestor_type"", ""service"", ""status"", ""subject"", ""ticketid"", ""tid"", ""userid""], ""ignorado"": true, ""keywords_encontradas"": [], ""motivo"": ""sem sinais suficientes de ativação de plugin"", ""plugins_encontrados"": [], ""raw_subject_fields"": {""name"": ""Tiago de Oliveira Sanches"", ""subject"": ""Reembolso""}}"
